video_id,chunk_id,img_idx,t_sec,image_path
video_01,0,0,1.875,data/keyframes/video_01/chunk_000/img_00.jpg
video_01,0,1,5.625,data/keyframes/video_01/chunk_000/img_01.jpg
video_01,0,2,9.375,data/keyframes/video_01/chunk_000/img_02.jpg
video_01,0,3,13.125,data/keyframes/video_01/chunk_000/img_03.jpg
video_01,0,4,16.875,data/keyframes/video_01/chunk_000/img_04.jpg
video_01,0,5,20.625,data/keyframes/video_01/chunk_000/img_05.jpg
video_01,0,6,24.375,data/keyframes/video_01/chunk_000/img_06.jpg
video_01,0,7,28.125,data/keyframes/video_01/chunk_000/img_07.jpg
video_01,1,0,31.875,data/keyframes/video_01/chunk_001/img_00.jpg
video_01,1,1,35.625,data/keyframes/video_01/chunk_001/img_01.jpg
video_01,1,2,39.375,data/keyframes/video_01/chunk_001/img_02.jpg
video_01,1,3,43.125,data/keyframes/video_01/chunk_001/img_03.jpg
video_01,1,4,46.875,data/keyframes/video_01/chunk_001/img_04.jpg
video_01,1,5,50.625,data/keyframes/video_01/chunk_001/img_05.jpg
video_01,1,6,54.375,data/keyframes/video_01/chunk_001/img_06.jpg
video_01,1,7,58.125,data/keyframes/video_01/chunk_001/img_07.jpg
video_01,2,0,61.875,data/keyframes/video_01/chunk_002/img_00.jpg
video_01,2,1,65.625,data/keyframes/video_01/chunk_002/img_01.jpg
video_01,2,2,69.375,data/keyframes/video_01/chunk_002/img_02.jpg
video_01,2,3,73.125,data/keyframes/video_01/chunk_002/img_03.jpg
video_01,2,4,76.875,data/keyframes/video_01/chunk_002/img_04.jpg
video_01,2,5,80.625,data/keyframes/video_01/chunk_002/img_05.jpg
video_01,2,6,84.375,data/keyframes/video_01/chunk_002/img_06.jpg
video_01,2,7,88.125,data/keyframes/video_01/chunk_002/img_07.jpg
video_01,3,0,91.875,data/keyframes/video_01/chunk_003/img_00.jpg
video_01,3,1,95.625,data/keyframes/video_01/chunk_003/img_01.jpg
video_01,3,2,99.375,data/keyframes/video_01/chunk_003/img_02.jpg
video_01,3,3,103.125,data/keyframes/video_01/chunk_003/img_03.jpg
video_01,3,4,106.875,data/keyframes/video_01/chunk_003/img_04.jpg
video_01,3,5,110.625,data/keyframes/video_01/chunk_003/img_05.jpg
video_01,3,6,114.375,data/keyframes/video_01/chunk_003/img_06.jpg
video_01,3,7,118.125,data/keyframes/video_01/chunk_003/img_07.jpg
video_01,4,0,121.875,data/keyframes/video_01/chunk_004/img_00.jpg
video_01,4,1,125.625,data/keyframes/video_01/chunk_004/img_01.jpg
video_01,4,2,129.375,data/keyframes/video_01/chunk_004/img_02.jpg
video_01,4,3,133.125,data/keyframes/video_01/chunk_004/img_03.jpg
video_01,4,4,136.875,data/keyframes/video_01/chunk_004/img_04.jpg
video_01,4,5,140.625,data/keyframes/video_01/chunk_004/img_05.jpg
video_01,4,6,144.375,data/keyframes/video_01/chunk_004/img_06.jpg
video_01,4,7,148.125,data/keyframes/video_01/chunk_004/img_07.jpg
video_01,5,0,151.875,data/keyframes/video_01/chunk_005/img_00.jpg
video_01,5,1,155.625,data/keyframes/video_01/chunk_005/img_01.jpg
video_01,5,2,159.375,data/keyframes/video_01/chunk_005/img_02.jpg
video_01,5,3,163.125,data/keyframes/video_01/chunk_005/img_03.jpg
video_01,5,4,166.875,data/keyframes/video_01/chunk_005/img_04.jpg
video_01,5,5,170.625,data/keyframes/video_01/chunk_005/img_05.jpg
video_01,5,6,174.375,data/keyframes/video_01/chunk_005/img_06.jpg
video_01,5,7,178.125,data/keyframes/video_01/chunk_005/img_07.jpg
